,Brand,Model,stars,comment
10,Samsung,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage)",5.0 out of 5 stars,"









  
  
    
  Best camera, very good battery life, eat body material, average weight, best performance,  best display.

  
"
11,Samsung,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage)",5.0 out of 5 stars,"









  
  
    
  This is best thing you can get at this price from a reputed brand with Made in India tag. First time I ordered on the first day of online launch and am happy. I'm writing after few days of usage, but this should not be different as my experience with Samsung has been most consistent as compared to other mobile brands I've used earlier.Good:- Android 10! Beautiful looks! Finally I can delete SMS from notification now!!- Display is excellent with Blue light filter.- Performance is good. No heating or lagging. Real Racing worked fine.- 6000 Mah battery is BIG- 128 GB storage is pretty good. 512 GB card supported with dedicated external card slot.- Both dedicated sim slots support LTE- Fast charging and 15W charger top with phone. The phone came with 0% charge. Charged fast.- Mobile speakers sound is good, but I prefer external speakers for better bass in music.- Camera is really good. Macro performance is very good - look at skin in tatoo photo and dust perticles in deskphone photo!! (photos of M31 are from other phone). Both front and rear camera support FHD video 3840x2160. I may not require to carry my DSLR everyehere.- Face unlock / figure-print sensor response is good- Received next day by 11 AM !Not So Good:- Not that thin, but ok.- Doesn't have Samsung Dex- Started to Boot Screen!! Gave me a little shock but selected reboot option and then every thing was smooth. An Android Updated (other than many application updates which is normal in any case) appeared on within days of launch. But update was smooth. No issue at all.- Feels delicate in hand but a Rs.49 cover was good enough. Wrongly ordered black while the set is blue. Just 49 so will reorder the blue one as well :)- Called Samsung Store, but no information with them about availability date. Still no call from them.Feedback- Feels good in hand and in use. It is a powerhouse and you feel it.- Will update after few days of use, but don't have any doubt as of now.Go for it without any doubt.

  
"
12,Samsung,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage)",1.0 out of 5 stars,"









  
  
    
  3rd class front camera. 32 MP front camera n looks like 2mp front camera. In very disappointed  with this kind of front camera. Need refund.

  
"
13,Samsung,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage)",1.0 out of 5 stars,"









  
  
    
  Lets just begin with the obvious. This phone's quality doesn't meet the claims made.Cons:1. Camera Quality: Picture quality is just awful. Its worse than a 8MP camera. The pixelization is obvious and it is definitely not a 64MP camera. Do not believe the claims Samsung might make. The quad camera is of no use as the macro camera reminds me of the decade when VGA cameras were common.2. Battery: Samsung may claim the battery will last for two days but it didnt last that long - no Netflix, Prime Video, heavy games being used. So that makes two of the biggest features useless.3. Amazon's Policy: In case you don't like the phone, Amazon has made sure you are stuck with it. The switch from 10 day ""return"" policy to 10 day ""replacement"" policy is dowright wrong! Hold onto the shutters physical mobile stores - your days are not over yet. When you do request for replacement, there is an inspection of the phone at buyer's site - which I understand but the fact that replacement will occur almost on the 10th day from my purchase still keeps me at unease.Pros:1. Display: The screen quality is good and has adjustment options for warm light and cold light.2. Performance: Streaming videos and playing heavy games was smooth for the first 4 days but then again Samsung is known for fast deterioration of performance, so I will keep my eyes and ears open.3. Sound: Speaker quality is okay but not upto the mark. In a noisy place you fail to hear the crispness and the boom.

  
"
14,Samsung,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage)",1.0 out of 5 stars,"









  
  
    
  I am using it from 3 days , 6000 mah battery is just for name only, it work for 1-1.25 days only with moderate usage.64mp camera doesn't support zoom, camera doesn't support 60fps video recording.Build quality is not good, plastic back with lots of figure prints in few minutes handling, not look new in few seconds.Face unlock very slow.Heat issue which charging and heavy usageFull charge takes more than 3 hrsWould not recommend to buy , if you are looking  for good camera phonego with other brands like oppo or redmi , giving much better quality

  
"
15,Samsung,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage)",1.0 out of 5 stars,"









  
  
    
  The phone was wrapped in dust. Although it was seal packed, still many dust were on screen and back side. It shows security concerns and Amazon, Samsung and seller must draw its attention. How dust can be reached in seal packed box? Now I'm lacking trust in Amazon,Samsung and seller. Either my phone was used or its components might have replaced, as in brand new phone,there exists no dusts because they are built in factory, but here shows how they are playing with the customer and their product.Phone is nice, large battery backup of more than 2 days, 6.4 display is big, camera is perfect and 6GB ram is enough for daily usage. All things are good. No heating issue.However my only concern is ""dust"" and how it came there if its brand new.So I could give 5 star,but now 1 is enough.Beware of Amazon,Samsung and seller.

  
"
16,Samsung,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage)",1.0 out of 5 stars,"









  
  
    
  Software is no working. No sounds in media, cant attend calls, every 5 mints phone gone to switched off and even though no retraining option.

  
"
17,Samsung,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage)",2.0 out of 5 stars,"









  
  
    
  Phone camera is not good , samsung says it's 64 mega pixel but its photos like 8 megapixels .photo detailing are not good  . Also processor is not Upton the mark it's some time slow and hang in multi function use . While using keyboard , keyboard hide automatically for 1 second . My mobile variant is 6 GB 128 GB. Don't waste your time and money .

  
"
18,Samsung,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage)",1.0 out of 5 stars,"









  
  
    
  Camera front is worst, not up to the mark. Waste of money. ,

  
"
19,Samsung,"Samsung Galaxy M31 Prime Edition (Ocean Blue, 6GB RAM, 128GB Storage)",3.0 out of 5 stars,"









  
  
    
  Not a Samsung performance. It seems it was launched without proper test n trials. I already had M30 so decided to buy M31 (6GB). But got shocked to see the poor performance n battery life. The 64MP images can't be sent easily to someone on WhatsApp. Camera give errors now n then. Battery life worst then M30 which has 5000mh. Mobile heats on charging.

  
"
20,Vivo,"Vivo Y91i (Black, 3GB RAM, 32GB Storage)",1.0 out of 5 stars,"









  
  
    
  Battery is not getting charged.

  
"
21,Vivo,"Vivo Y91i (Black, 3GB RAM, 32GB Storage)",1.0 out of 5 stars,"









  
  
    
  Battery is not good.  Its takes long time to charge..

  
"
22,Vivo,"Vivo Y91i (Black, 3GB RAM, 32GB Storage)",4.0 out of 5 stars,"









  
  
    
  Amazing screen length and audio. Camera works good for me. Brilliant auto sensors. Within the price range.

  
"
23,Vivo,"Vivo Y91i (Black, 3GB RAM, 32GB Storage)",5.0 out of 5 stars,"









  
  
    
  Nice Mobile... Value for money...

  
"
24,Vivo,"Vivo Y91i (Black, 3GB RAM, 32GB Storage)",3.0 out of 5 stars,"









  
  
    
  THE PRODUCT IS NOT USER FRIENDLY, THERE ARE SO MANY UNNECESSARY APPLICATIONS R AUTOMATICALLY STORING. THE MESSAGE SECTION OPERATION IS VERY BAD AND NOT USER FRIENDLY. IF U WANT DELETE ANY APPIT WILL GO TO GOOGLE ICON ALSO TIME CONSUMING FOR DELETION. NOT AT ALL A USER FRIENDLY OPERATION.FURTHER THE BATTERY WILL TAKE 5 TO 6 HOURS  FOR  FULL CHARGE AND GET VERY HOT AFTER 3 HRS PLUGGING . VERY DIFFICULT OPERATION FOR PHONE CLONING. NOT WORTH FOR MONEY..

  
"
25,Vivo,"Vivo Y91i (Black, 3GB RAM, 32GB Storage)",5.0 out of 5 stars,"









  
  
    
  Very  nice  mobile and very  beautiful I am asking  one question  don't  mistake  me in case I am returning  the  mobile  the same  mobile  at the  rate  of 7990 / -r u giving  please  tell  me

  
"
26,Vivo,"Vivo Y91i (Black, 3GB RAM, 32GB Storage)",1.0 out of 5 stars,"









  
  
    
  My mobile in not work sim

  
"
27,Vivo,"Vivo Y91i (Black, 3GB RAM, 32GB Storage)",4.0 out of 5 stars,"









  
  
    
  1. nice display2. decent speed , actually i cant compare coz my other phone is a one plus 7t3. decent camera4. its for my 75 year old mom so i guess its good enough5. and yes the blue color is lovelygo for it if you want a trouble free phone for old people

  
"
28,Vivo,"Vivo Y91i (Black, 3GB RAM, 32GB Storage)",1.0 out of 5 stars,"









  
  
    
  Battery charging is very very slow. It is taking 1 hour to charge 20% battery. So effectively it is taking 5 hours for full charge.If you are thinking to purchase it then please drop your idea.Very disappointed.

  
"
29,Vivo,"Vivo Y91i (Black, 3GB RAM, 32GB Storage)",5.0 out of 5 stars,"









  
  
    
  Nice phone . Built quality is good.  Comes with fast processer and amoled display  Value for moneyIn box content - back cover , charger , warranty card and mobile phone

  
"
30,Samsung,"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage)",5.0 out of 5 stars,"









  
  
    
  At first glance it looks a bit bulky. Camera, display etc. are satisfactory. Overall GOOD non Chinese phone.However, for their improvement, I tried to give some critical feedback to the company over phone but it was not so easy, so, I am writing here sothat Samsung India can take this critical review for their improvement.Battery:Battery is 7K mha but it is draining so fast that its overall backup time is slightly better than any other average phone.User Interface:User interface needs tremendous improvement. You can't take screenshot easily. You need to learn fine motor coordination between your fingers and power&volume button with microsecond precision. After three days I discovered taking screenshot by swapping screen. But this easy method for taking screenshot is not easy to find in its setting section. Automatic redial isn't available. also in setting section, searching for basic operation like redial, call waiting etc are either missing or very difficult to access. UI should be more intelligent and intuitive. Call recording should take permission from user before it starts recording any call.Dolby Sound:Dolby sound effect is excellent but its available only for external speaker. Inbuilt speaker don't have Dolby effect. You hv to buy headphone or external speaker for experiencing Dolby sound effect. Its Dolby software is so impressive that its work on a cheapest headphone but Samsung's own inbuilt speaker doesn't.External Outlook:Read somewhere that this phone has 3D prism like glastic body. GLASTIC seems to be a discovery of new material (Glass+Plastic) because its looks transparent and shining. But in reality, its a cheap looking smooth and slippery plastic back body. Also, Its prone to scratches neither its water resistant. Sometimes it generates heat. In this price segment, Samsung can easily provide metallic back for better appearance and transfer of heat.Overall, its good non chini phone with good camera and display, a bit bulky, satisfactory speed, scope of tremendous improvement in UI and setting, and bit overpriced.

  
"
31,Samsung,"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage)",1.0 out of 5 stars,"









  
  
    
  Cons:_OverpricedBattery drain only fast in normal  uses give only  24 hours  backup.Sound quality  is so soBuild quality  is not goodPros:_Good processorGood  cameraUser interface  is goodFinger print sensor  working  very fast but some times missed out.After six days of uses, impressed  with camera performance, Display, fingerprint  working, and processor.Disappointed  with Battery  performance  my brother  realme 2 giving easily 2days battery  backup with 4250mah, but this phone is horrible in battery  backup  only  24 hours  with 7000. I have  doubt  its not 7000 man battery its like 2000 or 2500mah. Heating  issue also faced during  charging.

  
"
32,Samsung,"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage)",5.0 out of 5 stars,"









  
  
    
  Awesome camera Awesome battery Awesome display  ....Super clear ZoomSuper Macro sensorSuper ultrawide angleAtlast Thanks Samsung for 730G

  
"
33,Samsung,"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage)",1.0 out of 5 stars,"









  
  
    
  Genuine Feedback to samsung and all buyersNot Upto the Mark..Battery is good, but mobile is very heavy.. not handy for one hand operation.. if you use it continuously then you feel pain in your  hand, designed is out dated, poor quality material.. camera is just okay..I am not happy overall performance of this phone at this price band...Mobile should be perfect for 15-16k price band..Lookwise not goodDisplay qaulity is just good not bestSound quality is goodCamera not much good that I am expecting.Big screen which perfect for movie watcher.. but after 30 minutes you feel pain in your hands.I bought Electric blue colour, it's look like samsung old samrt phone .My request to Amazon, is it possible to return this mobile. Then help me for return...I am not happy with overall performance of the phone...

  
"
34,Samsung,"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage)",5.0 out of 5 stars,"









  
  
    
  Ok so here comes the first review of this phone. Ordered on the first day of its sale and received on 3rd day. Indeed its a big and bulky phn but easy to handle. Few highlights:1. Seamless fingerprint scanner. I hv heard tht recent samsung phns have ths issue , however i dnt see any in ths phn. Its as gud as my past phns Asus 6z and Vivo v15pro. Side fingerprint scanner on the power button really makes it stylish and too easy to handle as well.2. Camera quality is really gud wth many features which luks tempting which im yet to explore. Even in dim light it scores quite well. Have all latest features like slow mo, 10x zoom, focus lens, panorma view and other added features.3. Battery ofcourse was the highlight while buying ths phn. I received this phn at 43%. And even after a rigorous 3 hr session of data transfer and apps installation it still holds at 33%. I believe it gonna last 2 days easily wth heavy net usage , mild games and gud 2 hrs of talk time.4. Luks wise it does seem premium despite a plastic back.5. Wonderful touch and a decent processimg speed. I tried playing 7-8 apps at the same time and it never hanged or lagged despite 50% memory up. Yet to try on heavy games though.6. Front cam does spoil the fun while watching full screen videos, like a small black dot bt can be lived wth.7. No headphones in the box.8. C to C charging cable capable of reverse charging too.Overall i wld rate it 4/5. Its one of the best non chinese phn available in the market for those who r luking for a huge battery wth a decent cam and light gaming purpose.Wld update on battery and cam after few days of usage

  
"
35,Samsung,"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage)",1.0 out of 5 stars,"









  
  
    
  There's something wrong with the new Samsung M51 mobile. Many other users are also facing the same issue. We are unable to connect through Wi-Fi on Samsung M51.Meanest Monster Ever ... HahahahaThis meanest monster is performing poorly within 5 min of unboxing. My eight yr old Lenovo still works like charm with Wi-Fi.Issue: When you trying connecting through Wi-Fi, on giving correct password, it says ""Incorrect Password"".I have done every troubleshooting step suggested by Samsung Tech support:1. Forget the connection and reconnect again.2. Update the phone s/w to latest version.3. Reset Settings4. Reset Network Settings5. Factory Data ResetI have applied every step suggested by tech-support and the result is still the same.The most irritating thing is how can a company like Samsung mess-up such a basic feature & to the surprise, even the tech support has now run out of troubleshooting solutions.Instead of replacing it with new phone, tech support has now told me to get the hardware fixed from Samsung Service centre. I don't get it why should I take a brand new phone to service center & get it opened. Instead a replacement of this phone should be there, I have not even used it for more than an hour.Last year I ordered an MI phone from Flipkart, the battery was getting drained very fast. Within the next day, the phone was replaced without questions asked.Dissappointed by Amazon, the way they are handling this issue.Don't spend your hard-earned money on this phone. Unfortunately, if your phone turns-out to be faulty, then there is a never ending process to take care of issue.

  
"
36,Samsung,"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage)",5.0 out of 5 stars,"









  
  
    
  After using for more than 2 day's I must say, snapdragon 730g works wonderful .CAMERA.This time M series did a honest job by giving us a INTELLI camera of 64 mega Pixcel and more feature in selfie camera.DISPLAY & FINGERPRINT.With Samsung SuperAmoled display you can truly trust the amazing view angle. Now in M51 feature of Widevine L Certification you can enjoy all those global Dolby theatre experience. I found it reliable for my 1920p to 4k level of movie watching without any distraction due to Infinite O display which gives Full Screen Ratio. Fingerprint on side is much faster than I expected. It doesn't takes a second also to open. Even FaceUnlock is faster.Superior, as it matches any S series flagship premium in classy look, strong built for this budget amount. 6.7 inches display is good to handle as it is well managed for one hand use also.

  
"
37,Samsung,"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage)",2.0 out of 5 stars,"









  
  
    
  I am giving this review after spending 20 days with this Phone. I am a retail user and after 6 year of redmi and realme user now buy the Samsung just because of Samsung+Snapdragon and very much dispointed. Here are some Pros and Cons which will help other user like me to decide whether they will buy it or not.Cons :1. No Haptic Feedback2. Low sound quality speaker at Rs 25K3. No apps lock features inbuilt4. No Case Cover in Box5. Plain Plastic back design at 25K which attract too much scratches.6. Samsung trusted Knox security not fully enable on this phone i.e no secure folder option.7. When Sealed Package open then phone display contain so much dust. Not expected the packaging like this from brand like Samsung.8. Gorila Glass 3 protection under 25k i.e out dated glass protection after using 2 days with full care i got one scratch mark on display.9. NFC given but Samsung Pay not there in this phone.10. Audio output in my boat rockers bluetooth headset with this phone is not as much as lound as compare to my previous phone Redmi Note 7 pro.11. Without using phone it take 2 hour to charge but when you use it frequently then it take 2.30-3 hour to charged it full from 0-100%.12. Full battery drained in 12 hour with non stop used including youtube, whatsapp Facebook, messaging, etc except game.13. No Carrier aggregation: Using Jio sim in Samsung M51 and realme X2 pro and both contain different net speed in which Samsung giving me 5mbps and realme x2 pro giving me 9-10mbps.14. Calling issue: while talking through ear piece on call, the person can hear my voice clearly. But if i put the call on loudspeaker, the receiver of call cant hear my voice or he hear my sound very low. Turning back to earpiece the person is able to hear me again.15. Camera Zoom quality is not good. When you focus on Sky whole pic turn into blue. i.e saturation level is too much high in this phone (Image attached).16. While watching movie video in this phone or playing video in youtube brightness fluctuate fast too much automatically i.e Adaptive Brightness issue.Pros :1. Super amoled plus display2. Camera quality Good3. 7000 Mah battery4. Till now Ram management is goodTo much hype created every where for this phone and due to this many user like me has purchased this phone but this phone under 25k is really not value for money. I am going to resale this phone. There are so many phone below 25k with best facilities as compare to this Samsung m51.Conclusion : Phone is overpriced and performance is average

  
"
38,Samsung,"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage)",5.0 out of 5 stars,"









  
  
    
  This is a perfect mobile for you,1. If you properly read the spec before buying this mobile2. If you don't expect all iPhone features in this mobile,3. if you are not a addictive gamer,4. If you don't expect your mobile to be a speaker,5. If you do concern about your data handled in Chinese mobiles,6. If you need better SAR value,7. If your first preference is battery, and decent level of camera quality,8. If you need all trending features to be covered in non Chinese mobile,THEN GO FOR IT... ALSO TRY TO UPDATE TO LATEST SOFTWARE ONCE AFTER SETTING UP YOUR MOBILE, OTHERWISE HEATING ISSUE WILL BE THERE.

  
"
39,Samsung,"Samsung Galaxy M51 (Electric Blue, 8GB RAM, 128GB Storage)",2.0 out of 5 stars,"









  
  
    
  It has issue with camera in night mode and pro mode.It seems like there is dust present on camera sensor which is only visible in dark photos. When photo is clicked with lens covered completely,  it shows hundreds of white spots in image, same happens with pro mode too. (This is not regular image noise)

  
"
